diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,72747.7890625,72747.796875,0.0078125,0.0,10,4,"[311, 399, 2003, 3164, 4136, 5524, 5926, 6304, 6909, 7743]",Optimal,,72747.7890625
1,72747.7890625,72747.796875,0.0078125,0.0,10,4,"[311, 399, 2003, 3164, 4136, 5524, 5926, 6304, 6909, 7743]",Optimal,-0.0,72747.7890625
2,72747.7890625,72747.796875,0.0078125,0.0,10,4,"[311, 399, 2003, 3164, 4136, 5524, 5926, 6304, 6909, 7743]",Optimal,-0.0,72747.7890625
3,72747.7890625,72747.796875,0.0078125,0.0,10,4,"[311, 399, 2003, 3164, 4136, 5524, 5926, 6304, 6909, 7743]",Optimal,-0.0,72747.7890625
4,72747.7890625,72747.796875,0.0078125,0.0,10,4,"[311, 399, 2003, 3164, 4136, 5524, 5926, 6304, 6909, 7743]",Optimal,-0.0,72747.7890625
5,72743.6328125,72747.796875,4.1640625,0.005713232049470576,10,5,"[311, 399, 2003, 3164, 4136, 5524, 6304, 6548, 6909, 7743]",Optimal,4.15625,72747.7890625
6,71928.6484375,72747.796875,819.1484375,1.1260007150131388,10,6,"[311, 399, 1769, 2003, 3164, 4136, 6304, 6548, 6909, 7743]",Optimal,814.984375,72747.7890625
7,70053.171875,72747.796875,2694.625,3.704053720704785,10,7,"[311, 399, 1769, 2003, 3075, 4136, 6304, 6548, 6909, 7743]",Optimal,1875.4765625,72747.7890625
