diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,81588.3828125,81588.390625,0.0078125,0.0,10,4,"[36, 331, 895, 1289, 2290, 2878, 4915, 5819, 6467, 7057]",Optimal,,81588.3828125
1,81588.3828125,81588.390625,0.0078125,0.0,10,4,"[36, 331, 895, 1289, 2290, 2878, 4915, 5819, 6467, 7057]",Optimal,-0.0,81588.3828125
2,81588.3828125,81588.390625,0.0078125,0.0,10,4,"[36, 331, 895, 1289, 2290, 2878, 4915, 5819, 6467, 7057]",Optimal,-0.0,81588.3828125
3,81588.3828125,81588.390625,0.0078125,0.0,10,4,"[36, 331, 895, 1289, 2290, 2878, 4915, 5819, 6467, 7057]",Optimal,-0.0,81588.3828125
4,81588.3828125,81588.390625,0.0078125,0.0,10,4,"[36, 331, 895, 1289, 2290, 2878, 4915, 5819, 6467, 7057]",Optimal,-0.0,81588.3828125
5,81185.984375,81588.390625,402.40625,0.49320555651257414,10,5,"[36, 331, 895, 1289, 2290, 2433, 2878, 4915, 6467, 7057]",Optimal,402.3984375,81588.3828125
6,80315.2265625,81588.390625,1273.1640625,1.5604626616093953,10,6,"[36, 331, 895, 1289, 1357, 2290, 2433, 2878, 4915, 7057]",Optimal,870.7578125,81588.3828125
7,79273.046875,81588.390625,2315.34375,2.8378255061396707,10,7,"[36, 331, 895, 1289, 1357, 2290, 2433, 2878, 5066, 7057]",Optimal,1042.1796875,81588.3828125
