diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,79025.859375,79025.8671875,0.0078125,0.0,10,5,"[60, 248, 594, 647, 814, 1616, 3084, 3826, 4241, 7432]",Optimal,,79025.859375
1,79025.859375,79025.8671875,0.0078125,0.0,10,5,"[60, 248, 594, 647, 814, 1616, 3084, 3826, 4241, 7432]",Optimal,-0.0,79025.859375
2,79025.859375,79025.8671875,0.0078125,0.0,10,5,"[60, 248, 594, 647, 814, 1616, 3084, 3826, 4241, 7432]",Optimal,-0.0,79025.859375
3,79025.859375,79025.8671875,0.0078125,0.0,10,5,"[60, 248, 594, 647, 814, 1616, 3084, 3826, 4241, 7432]",Optimal,-0.0,79025.859375
4,79025.859375,79025.8671875,0.0078125,0.0,10,5,"[60, 248, 594, 647, 814, 1616, 3084, 3826, 4241, 7432]",Optimal,-0.0,79025.859375
5,79025.859375,79025.8671875,0.0078125,0.0,10,5,"[60, 248, 594, 647, 814, 1616, 3084, 3826, 4241, 7432]",Optimal,-0.0,79025.859375
6,78736.78125,79025.8671875,289.0859375,0.36580193785459864,10,6,"[60, 248, 594, 647, 1616, 3084, 3826, 4241, 5736, 7432]",Optimal,289.078125,79025.859375
7,77537.0,79025.8671875,1488.8671875,1.8840154182125906,10,7,"[60, 248, 647, 1616, 3084, 3826, 4241, 4943, 5736, 7432]",Optimal,1199.78125,79025.859375
