diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,88984.1640625,88984.15625,-0.0078125,0.0,10,5,"[165, 218, 463, 1320, 1586, 3130, 4379, 6864, 6964, 7807]",Optimal,,88984.1640625
1,88984.1640625,88984.15625,-0.0078125,0.0,10,5,"[165, 218, 463, 1320, 1586, 3130, 4379, 6864, 6964, 7807]",Optimal,-0.0,88984.1640625
2,88984.1640625,88984.15625,-0.0078125,0.0,10,5,"[165, 218, 463, 1320, 1586, 3130, 4379, 6864, 6964, 7807]",Optimal,-0.0,88984.1640625
3,88984.1640625,88984.15625,-0.0078125,0.0,10,5,"[165, 218, 463, 1320, 1586, 3130, 4379, 6864, 6964, 7807]",Optimal,-0.0,88984.1640625
4,88984.1640625,88984.15625,-0.0078125,0.0,10,5,"[165, 218, 463, 1320, 1586, 3130, 4379, 6864, 6964, 7807]",Optimal,-0.0,88984.1640625
5,88984.1640625,88984.15625,-0.0078125,0.0,10,5,"[165, 218, 463, 1320, 1586, 3130, 4379, 6864, 6964, 7807]",Optimal,-0.0,88984.1640625
6,88608.1640625,88984.15625,375.9921875,0.4225470947121648,10,6,"[165, 218, 463, 1320, 1550, 1586, 3130, 6864, 6964, 7807]",Optimal,376.0,88984.1640625
7,87620.1171875,88984.15625,1364.0390625,1.5329096917086635,10,7,"[165, 463, 768, 1320, 1550, 1586, 3130, 6864, 6964, 7807]",Optimal,988.046875,88984.1640625
