diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,79991.65625,79991.65625,0.0,0.0,10,6,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,,79991.65625
1,79991.65625,79991.65625,0.0,0.0,10,6,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,-0.0,79991.65625
2,79991.65625,79991.65625,0.0,0.0,10,6,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,-0.0,79991.65625
3,79991.65625,79991.65625,0.0,0.0,10,6,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,-0.0,79991.65625
4,79991.65625,79991.65625,0.0,0.0,10,6,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,-0.0,79991.65625
5,79991.65625,79991.65625,0.0,0.0,10,6,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,-0.0,79991.65625
6,79991.65625,79991.65625,0.0,0.0,10,6,"[854, 2136, 2498, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,-0.0,79991.65625
7,79595.0625,79991.65625,396.59375,0.4957938972541277,10,7,"[789, 854, 2136, 2603, 3617, 4984, 6231, 6395, 6817, 7551]",Optimal,396.59375,79991.65625
