diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,80412.640625,80412.6328125,-0.0078125,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,,80412.640625
1,80412.640625,80412.6328125,-0.0078125,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,80412.640625
2,80412.640625,80412.6328125,-0.0078125,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,80412.640625
3,80412.640625,80412.6328125,-0.0078125,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,80412.640625
4,80412.640625,80412.6328125,-0.0078125,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,80412.640625
5,80412.640625,80412.6328125,-0.0078125,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,80412.640625
6,80412.640625,80412.6328125,-0.0078125,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,80412.640625
7,79154.765625,80412.6328125,1257.8671875,1.5642752062651841,10,7,"[178, 1196, 1969, 2909, 3260, 3277, 5189, 6061, 6062, 6318]",Optimal,1257.875,80412.640625
