diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,85961.8125,85961.8125,0.0,0.0,10,6,"[349, 859, 3866, 3995, 4689, 5018, 5483, 6449, 6488, 6904]",Optimal,,85961.8125
1,85961.8125,85961.8125,0.0,0.0,10,6,"[349, 859, 3866, 3995, 4689, 5018, 5483, 6449, 6488, 6904]",Optimal,-0.0,85961.8125
2,85961.8125,85961.8125,0.0,0.0,10,6,"[349, 859, 3866, 3995, 4689, 5018, 5483, 6449, 6488, 6904]",Optimal,-0.0,85961.8125
3,85961.8125,85961.8125,0.0,0.0,10,6,"[349, 859, 3866, 3995, 4689, 5018, 5483, 6449, 6488, 6904]",Optimal,-0.0,85961.8125
4,85961.8125,85961.8125,0.0,0.0,10,6,"[349, 859, 3866, 3995, 4689, 5018, 5483, 6449, 6488, 6904]",Optimal,-0.0,85961.8125
5,85961.8125,85961.8125,0.0,0.0,10,6,"[349, 859, 3866, 3995, 4689, 5018, 5483, 6449, 6488, 6904]",Optimal,-0.0,85961.8125
6,85961.8125,85961.8125,0.0,0.0,10,6,"[349, 859, 3866, 3995, 4689, 5018, 5483, 6449, 6488, 6904]",Optimal,-0.0,85961.8125
7,85055.15625,85961.8125,906.65625,1.054719792000663,10,7,"[349, 859, 3995, 4689, 5018, 5483, 6449, 6476, 6488, 6904]",Optimal,906.65625,85961.8125
