diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,72370.859375,72370.8515625,-0.0078125,0.0,10,6,"[415, 957, 2256, 2491, 2655, 2886, 3263, 6154, 6502, 7734]",Optimal,,72370.859375
1,72370.859375,72370.8515625,-0.0078125,0.0,10,6,"[415, 957, 2256, 2491, 2655, 2886, 3263, 6154, 6502, 7734]",Optimal,-0.0,72370.859375
2,72370.859375,72370.8515625,-0.0078125,0.0,10,6,"[415, 957, 2256, 2491, 2655, 2886, 3263, 6154, 6502, 7734]",Optimal,-0.0,72370.859375
3,72370.859375,72370.8515625,-0.0078125,0.0,10,6,"[415, 957, 2256, 2491, 2655, 2886, 3263, 6154, 6502, 7734]",Optimal,-0.0,72370.859375
4,72370.859375,72370.8515625,-0.0078125,0.0,10,6,"[415, 957, 2256, 2491, 2655, 2886, 3263, 6154, 6502, 7734]",Optimal,-0.0,72370.859375
5,72370.859375,72370.8515625,-0.0078125,0.0,10,6,"[415, 957, 2256, 2491, 2655, 2886, 3263, 6154, 6502, 7734]",Optimal,-0.0,72370.859375
6,72370.859375,72370.8515625,-0.0078125,0.0,10,6,"[415, 957, 2256, 2491, 2655, 2886, 3263, 6154, 6502, 7734]",Optimal,-0.0,72370.859375
7,71238.2421875,72370.8515625,1132.609375,1.5650182922814022,10,7,"[415, 957, 1801, 2256, 2491, 2655, 2886, 6154, 6502, 7734]",Optimal,1132.6171875,72370.859375
