metric,mean,std,min,max,median,cv
test_rmse,0.8537424379906599,0.009972123432599936,0.8334098255772057,0.8726133170628978,0.8549403180521902,0.011680482296358605
test_mae,0.6297779535857907,0.0059133257741372635,0.6139249318050084,0.638201558550563,0.6294194150430502,0.009389540774598944
test_r2,0.15469287589664843,0.007386999630242993,0.14290178670251763,0.16702247462404496,0.15405538934361135,0.047752681482102044
test_mse,0.728970621509703,0.01702914289268141,0.6945719373686283,0.7614540011155133,0.7309231544921444,0.02336053386817419
opt_total_shares,77784.98359375,4919.619988482171,67152.9921875,87040.671875,77673.91796875,0.06324639745604395
opt_n_selected,10.0,0.0,10.0,10.0,10.0,0.0
