diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares,seed
4,90.03410339355469,90.03409576416016,-7.62939453125e-06,0.0,10,6,"[51, 218, 463, 1320, 1586, 2208, 4379, 6864, 6964, 7458]",Optimal,-0.0,90.03410339355469,123
5,90.03410339355469,90.03409576416016,-7.62939453125e-06,0.0,10,6,"[51, 218, 463, 1320, 1586, 2208, 4379, 6864, 6964, 7458]",Optimal,-0.0,90.03410339355469,123
6,90.03410339355469,90.03409576416016,-7.62939453125e-06,0.0,10,6,"[51, 218, 463, 1320, 1586, 2208, 4379, 6864, 6964, 7458]",Optimal,-0.0,90.03410339355469,123
7,89.8648452758789,90.03409576416016,0.16925048828125,0.187993339519276,10,7,"[51, 218, 1320, 1586, 2208, 4379, 6864, 6964, 7356, 7458]",Optimal,0.1692581176757812,90.03410339355469,123
0,88.86771392822266,88.86772155761719,7.62939453125e-06,0.0,10,5,"[752, 2274, 2921, 4802, 5301, 5383, 6156, 6542, 6632, 7768]",Optimal,,88.86771392822266,1234
1,88.86771392822266,88.86772155761719,7.62939453125e-06,0.0,10,5,"[752, 2274, 2921, 4802, 5301, 5383, 6156, 6542, 6632, 7768]",Optimal,-0.0,88.86771392822266,1234
2,88.86771392822266,88.86772155761719,7.62939453125e-06,0.0,10,5,"[752, 2274, 2921, 4802, 5301, 5383, 6156, 6542, 6632, 7768]",Optimal,-0.0,88.86771392822266,1234
3,88.86771392822266,88.86772155761719,7.62939453125e-06,0.0,10,5,"[752, 2274, 2921, 4802, 5301, 5383, 6156, 6542, 6632, 7768]",Optimal,-0.0,88.86771392822266,1234
4,88.86771392822266,88.86772155761719,7.62939453125e-06,0.0,10,5,"[752, 2274, 2921, 4802, 5301, 5383, 6156, 6542, 6632, 7768]",Optimal,-0.0,88.86771392822266,1234
5,88.86771392822266,88.86772155761719,7.62939453125e-06,0.0,10,5,"[752, 2274, 2921, 4802, 5301, 5383, 6156, 6542, 6632, 7768]",Optimal,-0.0,88.86771392822266,1234
6,88.8260726928711,88.86772155761719,0.0416488647460937,0.0468575520972617,10,6,"[752, 1873, 2274, 2921, 4802, 5301, 5383, 6156, 6632, 7768]",Optimal,0.0416412353515625,88.86771392822266,1234
7,88.71526336669922,88.86772155761719,0.1524581909179687,0.1715477475279379,10,7,"[1873, 2274, 2921, 4802, 4996, 5301, 5383, 6156, 6632, 7768]",Optimal,0.110809326171875,88.86771392822266,1234
0,89.62039947509766,89.62039947509766,0.0,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,,89.62039947509766,2026
1,89.62039947509766,89.62039947509766,0.0,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,89.62039947509766,2026
2,89.62039947509766,89.62039947509766,0.0,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,89.62039947509766,2026
3,89.62039947509766,89.62039947509766,0.0,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,89.62039947509766,2026
4,89.62039947509766,89.62039947509766,0.0,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,89.62039947509766,2026
5,89.62039947509766,89.62039947509766,0.0,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,89.62039947509766,2026
6,89.62039947509766,89.62039947509766,0.0,0.0,10,6,"[178, 841, 1196, 1969, 2909, 3260, 3277, 6061, 6062, 6318]",Optimal,-0.0,89.62039947509766,2026
7,89.40560913085938,89.62039947509766,0.2147903442382812,0.239666800746591,10,7,"[178, 1196, 1969, 2909, 3260, 3277, 5189, 6061, 6062, 6318]",Optimal,0.2147903442382812,89.62039947509766,2026
0,88.85514831542969,88.85514831542969,0.0,0.0,10,4,"[171, 226, 278, 2172, 2320, 3439, 5846, 6050, 7440, 7505]",Optimal,,88.85514831542969,3443
1,88.85514831542969,88.85514831542969,0.0,0.0,10,4,"[171, 226, 278, 2172, 2320, 3439, 5846, 6050, 7440, 7505]",Optimal,-0.0,88.85514831542969,3443
2,88.85514831542969,88.85514831542969,0.0,0.0,10,4,"[171, 226, 278, 2172, 2320, 3439, 5846, 6050, 7440, 7505]",Optimal,-0.0,88.85514831542969,3443
3,88.85514831542969,88.85514831542969,0.0,0.0,10,4,"[171, 226, 278, 2172, 2320, 3439, 5846, 6050, 7440, 7505]",Optimal,-0.0,88.85514831542969,3443
4,88.85514831542969,88.85514831542969,0.0,0.0,10,4,"[171, 226, 278, 2172, 2320, 3439, 5846, 6050, 7440, 7505]",Optimal,-0.0,88.85514831542969,3443
5,88.847412109375,88.85514831542969,0.0077362060546875,0.0087065366513423,10,5,"[171, 226, 278, 944, 2172, 2320, 3439, 5846, 6050, 7505]",Optimal,0.0077362060546875,88.85514831542969,3443
6,88.79757690429688,88.85514831542969,0.0575714111328125,0.0647924315296148,10,6,"[171, 226, 278, 944, 1275, 2172, 3439, 5846, 6050, 7505]",Optimal,0.049835205078125,88.85514831542969,3443
7,88.66612243652344,88.85514831542969,0.18902587890625,0.2127348639779668,10,7,"[171, 226, 278, 944, 1275, 3439, 4486, 5846, 6050, 7505]",Optimal,0.1314544677734375,88.85514831542969,3443
0,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,,89.0248031616211,456
1,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,-0.0,89.0248031616211,456
2,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,-0.0,89.0248031616211,456
3,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,-0.0,89.0248031616211,456
4,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,-0.0,89.0248031616211,456
5,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,-0.0,89.0248031616211,456
6,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,-0.0,89.0248031616211,456
7,89.0248031616211,89.02481079101562,7.62939453125e-06,0.0,10,7,"[881, 1396, 2285, 2796, 2832, 3602, 5351, 5779, 6330, 6584]",Optimal,-0.0,89.0248031616211,456
0,88.9255599975586,88.9255599975586,0.0,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,,88.9255599975586,789
1,88.9255599975586,88.9255599975586,0.0,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,88.9255599975586,789
2,88.9255599975586,88.9255599975586,0.0,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,88.9255599975586,789
3,88.9255599975586,88.9255599975586,0.0,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,88.9255599975586,789
4,88.9255599975586,88.9255599975586,0.0,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,88.9255599975586,789
5,88.9255599975586,88.9255599975586,0.0,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,88.9255599975586,789
6,88.9255599975586,88.9255599975586,0.0,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,88.9255599975586,789
7,88.86017608642578,88.9255599975586,0.0653839111328125,0.0735265666413656,10,7,"[456, 528, 1599, 4598, 5145, 5449, 5860, 6304, 6753, 7919]",Optimal,0.0653839111328125,88.9255599975586,789
0,90.12580108642578,90.12580108642578,0.0,0.0,10,6,"[18, 622, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,,90.12580108642578,7890
1,90.12580108642578,90.12580108642578,0.0,0.0,10,6,"[18, 622, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,-0.0,90.12580108642578,7890
2,90.12580108642578,90.12580108642578,0.0,0.0,10,6,"[18, 622, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,-0.0,90.12580108642578,7890
3,90.12580108642578,90.12580108642578,0.0,0.0,10,6,"[18, 622, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,-0.0,90.12580108642578,7890
4,90.12580108642578,90.12580108642578,0.0,0.0,10,6,"[18, 622, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,-0.0,90.12580108642578,7890
5,90.12580108642578,90.12580108642578,0.0,0.0,10,6,"[18, 622, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,-0.0,90.12580108642578,7890
6,90.12580108642578,90.12580108642578,0.0,0.0,10,6,"[18, 622, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,-0.0,90.12580108642578,7890
7,90.05661010742188,90.12580108642578,0.0691909790039062,0.0767715550595282,10,7,"[18, 2009, 2229, 2308, 2782, 4048, 4893, 5134, 5659, 6878]",Optimal,0.0691909790039062,90.12580108642578,7890
