diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,84379.40625,84379.4140625,0.0078125,0.0,10,6,"[226, 392, 554, 832, 2172, 2794, 6186, 6421, 7440, 7570]",Optimal,,84379.40625
1,84379.40625,84379.4140625,0.0078125,0.0,10,6,"[226, 392, 554, 832, 2172, 2794, 6186, 6421, 7440, 7570]",Optimal,-0.0,84379.40625
2,84379.40625,84379.4140625,0.0078125,0.0,10,6,"[226, 392, 554, 832, 2172, 2794, 6186, 6421, 7440, 7570]",Optimal,-0.0,84379.40625
3,84379.40625,84379.4140625,0.0078125,0.0,10,6,"[226, 392, 554, 832, 2172, 2794, 6186, 6421, 7440, 7570]",Optimal,-0.0,84379.40625
4,84379.40625,84379.4140625,0.0078125,0.0,10,6,"[226, 392, 554, 832, 2172, 2794, 6186, 6421, 7440, 7570]",Optimal,-0.0,84379.40625
5,84379.40625,84379.4140625,0.0078125,0.0,10,6,"[226, 392, 554, 832, 2172, 2794, 6186, 6421, 7440, 7570]",Optimal,-0.0,84379.40625
6,84379.40625,84379.4140625,0.0078125,0.0,10,6,"[226, 392, 554, 832, 2172, 2794, 6186, 6421, 7440, 7570]",Optimal,-0.0,84379.40625
7,83530.921875,84379.4140625,848.4921875,1.0055585986065172,10,7,"[226, 554, 832, 2172, 2794, 3341, 6186, 6421, 7440, 7570]",Optimal,848.484375,84379.40625
