diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,90.41179656982422,90.41179656982422,0.0,0.0,10,4,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,,90.41179656982422
1,90.41179656982422,90.41179656982422,0.0,0.0,10,4,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422
2,90.41179656982422,90.41179656982422,0.0,0.0,10,4,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422
3,90.41179656982422,90.41179656982422,0.0,0.0,10,4,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422
4,90.41179656982422,90.41179656982422,0.0,0.0,10,4,"[968, 1198, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 7344]",Optimal,-0.0,90.41179656982422
5,90.32113647460938,90.41179656982422,0.09066009521484375,0.10027463080531508,10,5,"[968, 2603, 2669, 2915, 3662, 4284, 6231, 6395, 6566, 7344]",Optimal,0.09066009521484375,90.41179656982422
6,90.17506408691406,90.41179656982422,0.23673248291015625,0.26183804756863766,10,6,"[964, 968, 2603, 2669, 2915, 3662, 4284, 6395, 6566, 7344]",Optimal,0.1460723876953125,90.41179656982422
7,89.86604309082031,90.41179656982422,0.5457534790039062,0.6036308310524785,10,6,"[964, 968, 2603, 2915, 3662, 4284, 4570, 6395, 6566, 7344]",Infeasible,0.30902099609375,90.41179656982422
