diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,84028.7109375,84028.7109375,0.0,0.0,10,4,"[1445, 1468, 1509, 2307, 2711, 3289, 4306, 4517, 5401, 5996]",Optimal,,84028.7109375
1,84028.7109375,84028.7109375,0.0,0.0,10,4,"[1445, 1468, 1509, 2307, 2711, 3289, 4306, 4517, 5401, 5996]",Optimal,-0.0,84028.7109375
2,84028.7109375,84028.7109375,0.0,0.0,10,4,"[1445, 1468, 1509, 2307, 2711, 3289, 4306, 4517, 5401, 5996]",Optimal,-0.0,84028.7109375
3,84028.7109375,84028.7109375,0.0,0.0,10,4,"[1445, 1468, 1509, 2307, 2711, 3289, 4306, 4517, 5401, 5996]",Optimal,-0.0,84028.7109375
4,84028.7109375,84028.7109375,0.0,0.0,10,4,"[1445, 1468, 1509, 2307, 2711, 3289, 4306, 4517, 5401, 5996]",Optimal,-0.0,84028.7109375
5,83120.0390625,84028.7109375,908.671875,1.0813826189430231,10,5,"[1468, 1509, 2307, 2711, 3289, 3908, 4306, 4517, 5401, 5996]",Optimal,908.671875,84028.7109375
6,81518.234375,84028.7109375,2510.4765625,2.9876414079079185,10,6,"[1468, 1509, 2307, 2711, 3289, 3908, 4517, 5401, 5996, 7526]",Optimal,1601.8046875,84028.7109375
7,79408.734375,84028.7109375,4619.9765625,5.498092867253799,10,7,"[1468, 1509, 2711, 3289, 3908, 4517, 5401, 5996, 6044, 7526]",Optimal,2109.5,84028.7109375
