diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,72971.8671875,72971.875,0.0078125,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,,72971.8671875
1,72971.8671875,72971.875,0.0078125,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,72971.8671875
2,72971.8671875,72971.875,0.0078125,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,72971.8671875
3,72971.8671875,72971.875,0.0078125,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,72971.8671875
4,72971.8671875,72971.875,0.0078125,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,72971.8671875
5,72971.8671875,72971.875,0.0078125,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,72971.8671875
6,72971.8671875,72971.875,0.0078125,0.0,10,6,"[456, 528, 1599, 3558, 4598, 5449, 5860, 6304, 6753, 7919]",Optimal,-0.0,72971.8671875
7,72544.203125,72971.875,427.671875,0.5860670406050106,10,7,"[456, 528, 1599, 4598, 5145, 5449, 5860, 6304, 6753, 7919]",Optimal,427.6640625,72971.8671875
