diversity_level,lp_shares,top10_shares,diversity_cost,pct_cost,n_selected,actual_categories,selected_indices,status,marginal_cost,max_shares
0,75769.5234375,75769.5234375,0.0,0.0,10,5,"[28, 752, 1657, 3335, 5301, 6156, 6901, 6985, 7567, 7768]",Optimal,,75769.5234375
1,75769.5234375,75769.5234375,0.0,0.0,10,5,"[28, 752, 1657, 3335, 5301, 6156, 6901, 6985, 7567, 7768]",Optimal,-0.0,75769.5234375
2,75769.5234375,75769.5234375,0.0,0.0,10,5,"[28, 752, 1657, 3335, 5301, 6156, 6901, 6985, 7567, 7768]",Optimal,-0.0,75769.5234375
3,75769.5234375,75769.5234375,0.0,0.0,10,5,"[28, 752, 1657, 3335, 5301, 6156, 6901, 6985, 7567, 7768]",Optimal,-0.0,75769.5234375
4,75769.5234375,75769.5234375,0.0,0.0,10,5,"[28, 752, 1657, 3335, 5301, 6156, 6901, 6985, 7567, 7768]",Optimal,-0.0,75769.5234375
5,75769.5234375,75769.5234375,0.0,0.0,10,5,"[28, 752, 1657, 3335, 5301, 6156, 6901, 6985, 7567, 7768]",Optimal,-0.0,75769.5234375
6,75477.671875,75769.5234375,291.8515625,0.3851833154800552,10,6,"[28, 247, 752, 1657, 3335, 5301, 6156, 6901, 7567, 7768]",Optimal,291.8515625,75769.5234375
7,74159.3515625,75769.5234375,1610.171875,2.125091728111742,10,7,"[28, 247, 752, 1657, 1848, 5301, 6156, 6901, 7567, 7768]",Optimal,1318.3203125,75769.5234375
